#@ stamp.version = 1
#@ src.script = detectors/Gamma-1S/analysis/deconv_balance.py
#@ src.git = 7beacb0-dirty
#@ src.tree_sha1 = bd17f9bea1e4
#@ src.inputs_verdict = no_inputs
#@ src.inputs_n = 0
#@ obs.quantity = доля площади окна; отданная подгонкой ПИКАМ; в измерении и в модели — и отношение этих долей
#@ obs.area = площади линий из совместной подгонки окна; подложка отдельным членом той же подгонки
#@ obs.window = окно группы охватывает все линии бленда
#@ obs.shelf = подложка подгоняется вместе с линиями; отдельно не вычитается
#@ obs.blurred = измерение как есть; модель размыта приборной ПШПВ
# доля площади окна; отданная подгонкой ПИКАМ
geometry,E_keV,n_lines,peak_frac_meas,peak_frac_model,ratio
Marinelli_1L,583.187,3,0.46958,0.45984,1.02119
Marinelli_1L,911.204,7,0.68887,0.68162,1.01063
Marinelli_1L,2614.511,1,0.69810,0.73083,0.95522
Denta_120mL,583.187,3,0.52306,0.46437,1.12640
Denta_120mL,911.204,7,0.70438,0.64103,1.09882
Denta_120mL,2614.511,1,0.73406,0.75562,0.97147
Petri_60mL,583.187,3,0.53108,0.45938,1.15607
Petri_60mL,911.204,7,0.70064,0.72401,0.96773
Petri_60mL,2614.511,1,0.70318,0.75296,0.93388
